Seq_id	Size	Description
1	4530125	NZ_CP006758.1
2	4502257	NZ_CP006794.1
3	4639390	CP045640.1
4	4553586	NC_014029.1
5	4636496	NZ_CP033690.1
6	4708493	NZ_CP033699.1
7	4708024	NZ_CP009906.1
8	4501786	NZ_CP009935.1
9	4653728	NC_003143.1
10	4546217	NZ_CP045149.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	2196909	2198847	1939
1	+	926194	928147	1954
1	+	4521488	4523405	1918
1	-	2520755	2518818	1938
1	-	962332	960395	1938
1	-	4353297	4351360	1938
1	-	2616811	2615017	1795
1	+	1114147	1116084	1938
1	-	1222288	1220351	1938
1	-	2672501	2670564	1938
1	+	4038355	4040292	1938
1	+	703873	705810	1938
1	+	201709	203645	1937
1	-	3726643	3724716	1928
1	-	1946973	1945330	1644
1	+	3659183	3661034	1852
1	-	578704	576766	1939
1	-	1436012	1434076	1937
1	+	3508006	3509944	1939
1	-	2935352	2933415	1938
1	+	3022601	3024538	1938
1	-	1541102	1539166	1937
1	-	374637	372700	1938
1	+	3059258	3061194	1937
1	+	3414785	3416722	1938
1	-	3166048	3164111	1938
2	-	3149895	3147958	1938
2	+	997956	999893	1938
2	-	3082249	3080312	1938
2	+	3335184	3337121	1938
2	-	2774627	2772690	1938
2	+	3494031	3495968	1938
2	+	3619132	3621069	1938
2	-	2714076	2712140	1937
2	+	2637120	2639046	1927
2	+	312980	314917	1938
2	-	3706112	3704188	1925
2	+	844128	846065	1938
2	-	1040698	1038761	1938
2	-	1065442	1063505	1938
2	-	2401166	2399229	1938
2	+	3845700	3847637	1938
2	+	206596	208531	1936
2	-	2169542	2167625	1918
2	-	2132931	2131265	1667
2	-	1957738	1955801	1938
2	+	3932407	3933798	1392
2	-	1928189	1926250	1940
2	+	4027916	4029853	1938
2	+	4123155	4124842	1688
2	-	107416	105478	1939
2	-	1732093	1730156	1938
2	+	730928	732865	1938
2	+	1515148	1517085	1938
2	+	519311	521244	1934
2	+	556557	558443	1887
2	+	4230066	4232003	1938
2	-	4358261	4356324	1938
2	+	1332019	1333956	1938
2	-	1268397	1266478	1920
3	+	212633	214570	1938
3	-	255382	253445	1938
3	+	2549366	2551303	1938
3	+	187806	189743	1938
3	+	2955880	2957817	1938
3	+	3963833	3965770	1938
3	-	2038149	2036212	1938
3	+	3723591	3725508	1918
3	+	746609	748536	1928
3	+	1950257	1952194	1938
3	-	4254210	4252273	1938
3	+	3933584	3935521	1938
3	+	4429314	4431251	1938
3	-	4544716	4542779	1938
3	+	3479819	3481756	1938
3	-	2606533	2604596	1938
3	-	1765604	1763667	1938
3	-	882897	880960	1938
3	+	3062287	3064224	1938
3	+	2266098	2267479	1382
3	-	2503769	2501832	1938
3	+	1637251	1639188	1938
3	+	495973	497910	1938
3	-	1224353	1222416	1938
3	-	409356	407419	1938
3	+	1478379	1480316	1938
3	+	2361672	2363609	1938
3	-	1292322	1290385	1938
3	+	3305233	3307119	1887
4	+	3675761	3677698	1938
4	+	899859	901796	1938
4	-	668423	666506	1918
4	-	626616	624679	1938
4	-	3331393	3329456	1938
4	+	1145818	1147745	1928
4	+	1195103	1197041	1939
4	-	3240760	3238823	1938
4	-	1283416	1281479	1938
4	+	3104180	3106117	1938
4	-	3027385	3025448	1938
4	+	3713013	3714899	1887
4	-	456485	454548	1938
4	+	2882565	2884759	2195
4	-	1329197	1327260	1938
4	+	2778518	2780455	1938
4	+	3887561	3889498	1938
4	-	244672	242735	1938
4	+	2577311	2579248	1938
4	-	41206	39269	1938
4	-	1691800	1689863	1938
4	-	4135071	4133134	1938
4	-	2533440	2531503	1938
4	-	4260695	4258758	1938
4	-	2374553	2372616	1938
4	-	4285534	4283597	1938
4	-	2249250	2247313	1938
4	-	1933559	1931765	1795
4	+	2161369	2163306	1938
5	+	4342436	4344373	1938
5	+	4448869	4450806	1938
5	-	4544015	4542078	1938
5	-	4166878	4164941	1938
5	+	4038722	4040659	1938
5	-	3970226	3968299	1928
5	+	3862749	3864686	1938
5	+	3662599	3664536	1938
5	+	3567068	3568448	1381
5	-	3339102	3337165	1938
5	+	3251931	3253858	1928
5	+	3126627	3128564	1938
5	+	3026583	3028520	1938
5	+	2867683	2869620	1938
5	-	2682364	2680427	1938
5	-	2614760	2612823	1938
5	-	2273267	2271330	1938
5	+	2136974	2138901	1928
5	+	1886310	1888247	1938
5	+	1732493	1734430	1938
5	-	1645165	1643228	1938
5	+	232510	234447	1938
5	+	1577566	1579503	1938
5	-	1311676	1309739	1938
5	-	1007944	1006007	1938
5	+	716881	718818	1938
5	+	686632	688569	1938
5	+	475938	477855	1918
5	+	55981	57867	1887
5	-	140739	138802	1938
5	+	1602392	1604329	1938
6	-	895906	893969	1938
6	+	4092507	4094185	1679
6	+	4698104	4700041	1938
6	-	934508	932571	1938
6	-	57601	55664	1938
6	+	775616	777553	1938
6	-	4609991	4608054	1938
6	+	997538	999465	1928
6	+	1071811	1073748	1938
6	-	1135792	1133856	1937
6	+	4540072	4542009	1938
6	-	1181573	1179636	1938
6	-	4525679	4523742	1938
6	-	1277388	1275451	1938
6	-	1319026	1317089	1938
6	+	1352789	1354726	1938
6	-	4447403	4445466	1938
6	+	1540933	1542870	1938
6	+	123516	125453	1938
6	+	1602511	1604448	1938
6	-	1677831	1675894	1938
6	+	1740665	1742602	1938
6	+	1792365	1794302	1938
6	+	4409007	4410944	1938
6	-	4340667	4338730	1938
6	-	1862478	1860541	1938
6	-	740093	738157	1937
6	-	4315842	4313906	1937
6	+	228257	230451	2195
6	+	1903388	1905324	1937
6	+	4225419	4227356	1938
6	-	4186768	4184831	1938
6	+	4065174	4067111	1938
6	-	1959217	1957281	1937
6	+	2006142	2008079	1938
6	+	375688	377625	1938
6	-	3986844	3984907	1938
6	-	2065894	2063891	2004
6	+	2134110	2136047	1938
6	+	3901849	3903786	1938
6	-	2208928	2206991	1938
6	-	418430	416493	1938
6	-	2313066	2311129	1938
6	+	2357303	2359240	1938
6	-	456623	454687	1937
6	+	685843	687780	1938
6	-	3851348	3849411	1938
6	+	2439070	2440864	1795
6	+	591161	593024	1864
6	-	2498161	2496224	1938
6	+	2536288	2538225	1938
6	-	2585769	2583832	1938
6	-	2635408	2633715	1694
6	+	3756015	3757952	1938
6	-	3674392	3672455	1938
6	+	3579579	3581465	1887
6	-	498483	496566	1918
6	+	2738076	2740013	1938
6	+	3541588	3543525	1938
6	+	2805987	2807923	1937
6	-	2867273	2865336	1938
6	-	2981214	2979277	1938
6	+	3490530	3492467	1938
6	+	3037601	3039538	1938
6	+	3402006	3403943	1938
6	-	3144716	3142779	1938
6	+	3222824	3224761	1938
6	+	3270589	3272526	1938
6	+	3331547	3333483	1937
7	-	3791968	3790031	1938
7	-	3746188	3744254	1935
7	-	3887782	3885845	1938
7	-	3929417	3927483	1935
7	-	2349340	2347403	1938
7	+	3963179	3965110	1932
7	+	2310949	2312885	1937
7	-	2242609	2240671	1939
7	+	3682219	3684155	1937
7	+	3607950	3609876	1927
7	-	3544920	3542983	1938
7	+	4151309	4153247	1939
7	-	2217782	2215844	1939
7	+	4212887	4214820	1934
7	-	4288202	4286264	1939
7	+	2442026	2443964	1939
7	+	2127361	2129296	1936
7	-	2511942	2510005	1938
7	-	3506318	3504381	1938
7	+	3386031	3387968	1938
7	+	2600053	2601990	1938
7	-	3350508	3348571	1938
7	+	4616500	4618438	1939
7	-	2088710	2086773	1938
7	+	1994440	1996128	1689
7	+	3296259	3298195	1937
7	+	1967123	1969054	1932
7	+	3201575	3203438	1864
7	-	3108897	3106983	1915
7	-	1888794	1886856	1939
7	+	1803801	1805736	1936
7	+	4351035	4352967	1933
7	-	2668043	2666106	1938
7	+	4402730	4404666	1937
7	-	1753306	1751369	1938
7	+	1657975	1659912	1938
7	-	1576371	1574437	1935
7	-	3067041	3065104	1938
7	-	4472839	4470904	1936
7	+	1481733	1483620	1888
7	+	4513748	4515662	1915
7	+	1443745	1445682	1938
7	-	4569576	4567641	1936
7	+	1392688	1394624	1937
7	+	1304177	1306110	1934
7	+	1233718	1235654	1937
7	+	1172761	1174698	1938
7	+	1124999	1126933	1935
7	-	4676252	4674249	2004
7	+	36444	38380	1937
7	+	2733956	2735891	1936
7	-	111255	109321	1935
7	-	215393	213456	1938
7	+	259630	261566	1937
7	-	3028847	3026911	1937
7	+	341396	343190	1795
7	-	400484	398548	1937
7	-	2427632	2425695	1938
7	-	1046891	1044954	1938
7	+	2986115	2988046	1932
7	+	939758	941694	1937
7	+	438611	440547	1937
7	-	487933	485995	1939
7	-	883371	881434	1938
7	+	2838691	2840881	2191
7	-	537573	535879	1695
7	+	640240	642177	1938
7	-	769432	767499	1934
7	+	708150	710087	1938
8	-	3504081	3502144	1938
8	-	1908141	1906209	1933
8	-	3641475	3639843	1633
8	+	3699216	3701153	1938
8	-	1692850	1690919	1932
8	+	3924216	3926150	1935
8	+	2069522	2071458	1937
8	+	4013479	4014839	1361
8	+	43189	44800	1612
8	-	104175	102564	1612
8	+	3266266	3268218	1953
8	+	1633846	1635780	1935
8	-	3247616	3245681	1936
8	+	4046181	4048116	1936
8	+	3156333	3158270	1938
8	+	4116706	4118639	1934
8	-	3108396	3106464	1933
8	+	153386	155313	1928
8	-	195937	194000	1938
8	+	2222823	2224428	1606
8	-	4336218	4334281	1938
8	+	4400184	4402118	1935
8	-	3008639	3007028	1612
8	-	4476378	4474441	1938
8	-	249458	247848	1611
8	-	349823	348190	1634
8	+	1548298	1550162	1865
8	+	1467566	1469504	1939
8	-	389353	387785	1569
8	+	1326589	1328526	1938
8	+	2972234	2974172	1939
8	+	524998	526935	1938
8	+	695946	697884	1939
8	-	807594	805983	1612
8	+	904204	906140	1937
8	-	1037529	1035918	1612
8	-	2676308	2674698	1611
8	+	2489764	2491084	1321
8	-	2357840	2356236	1605
8	+	1078989	1080926	1938
8	-	2286768	2285157	1612
8	-	1134043	1132107	1937
8	-	2347742	2345806	1937
