Seq_id	Size	Description
1	4530125	NZ_CP006758.1
2	4502257	NZ_CP006794.1
3	4639390	CP045640.1
4	4553586	NC_014029.1
5	4636496	NZ_CP033690.1
6	4708493	NZ_CP033699.1
7	4708024	NZ_CP009906.1
8	4501786	NZ_CP009935.1
9	4653728	NC_003143.1
10	4546217	NZ_CP045149.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	-	1541102	1539166	1937
1	-	1436012	1434076	1937
1	+	1660672	1662320	1649
1	-	1367396	1365602	1795
1	-	1947267	1945330	1938
1	+	2196909	2198847	1939
1	-	1222288	1220351	1938
1	-	2520755	2518818	1938
1	-	2672501	2670564	1938
1	+	2744186	2746188	2003
1	-	1116075	1114541	1535
1	+	201709	203645	1937
1	-	2935352	2933415	1938
1	+	3022601	3024538	1938
1	+	3059258	3061194	1937
1	-	3166048	3164111	1938
1	-	962332	960395	1938
1	+	3414785	3416722	1938
1	+	3508006	3509912	1907
1	-	371593	369511	2083
1	-	374637	372700	1938
1	-	926748	925525	1224
1	+	3659183	3661034	1852
1	-	3726643	3724716	1928
1	+	4038864	4040292	1429
1	+	4348991	4350249	1259
1	-	4353297	4351360	1938
1	+	703873	705810	1938
1	+	4521472	4523405	1934
1	-	578704	576766	1939
2	-	2774627	2772690	1938
2	+	2882258	2883799	1542
2	-	1735227	1730156	5072
2	-	381859	380556	1304
2	+	556557	558443	1887
2	-	3082249	3080312	1938
2	+	312980	314917	1938
2	-	3149895	3147958	1938
2	-	1704978	1703967	1012
2	+	206348	208531	2184
2	+	105567	107018	1452
2	-	1928189	1926250	1940
2	+	1515148	1517085	1938
2	+	3335184	3337121	1938
2	-	2714002	2712140	1863
2	+	2637120	2639046	1927
2	+	730928	732865	1938
2	-	1957738	1955801	1938
2	+	1332019	1333956	1938
2	+	3494031	3495968	1938
2	-	1268397	1266515	1883
2	+	1264090	1265404	1315
2	+	3619132	3621069	1938
2	-	3706112	3704188	1925
2	-	2133002	2131228	1775
2	+	3740201	3742203	2003
2	+	844128	846065	1938
2	+	3845700	3847637	1938
2	-	4358261	4356324	1938
2	-	2169542	2167625	1918
2	+	997956	999893	1938
2	+	3932001	3933798	1798
2	-	1040698	1038761	1938
2	-	2401166	2399229	1938
