Seq_id	Size	Description
1	4530125	NZ_CP006758.1
2	4502257	NZ_CP006794.1
3	4639390	CP045640.1
4	4553586	NC_014029.1
5	4636496	NZ_CP033690.1
6	4708493	NZ_CP033699.1
7	4708024	NZ_CP009906.1
8	4501786	NZ_CP009935.1
9	4653728	NC_003143.1
10	4546217	NZ_CP045149.1
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10
2	3	0.02%	0.04%	0.00%	0.03%	0.00%	0.06%	0.00%	0.00%	0.04%	0.00%	0.03%	
3	3	0.02%	0.04%	0.03%	0.02%	0.05%	0.02%	0.00%	0.00%	0.03%	0.00%	0.03%	
4	1	0.01%	0.00%	0.02%	0.02%	0.00%	0.02%	0.00%	0.00%	0.00%	0.00%	0.02%	
5	1	0.01%	0.02%	0.00%	0.00%	0.02%	0.00%	0.02%	0.02%	0.00%	0.02%	0.00%	
6	3	0.25%	0.05%	0.05%	0.42%	0.38%	0.42%	0.37%	0.37%	0.00%	0.04%	0.43%	
7	8	1.65%	2.43%	0.04%	2.13%	0.25%	2.12%	2.33%	2.35%	2.28%	2.30%	0.21%	
8	15	1.90%	0.62%	2.21%	2.38%	2.38%	2.39%	2.03%	2.03%	0.42%	2.21%	2.32%	
9	11	2.09%	2.35%	2.37%	2.30%	1.49%	2.30%	2.28%	2.28%	0.89%	2.29%	2.32%	
10	189	87.89%	89.28%	89.58%	87.07%	88.75%	87.09%	85.89%	85.96%	89.73%	87.08%	88.70%	
12	1	0.03%	0.00%	0.00%	0.05%	0.05%	0.05%	0.04%	0.04%	0.00%	0.00%	0.05%	
14	1	0.05%	0.02%	0.04%	0.06%	0.04%	0.06%	0.11%	0.10%	0.05%	0.00%	0.00%	
15	1	0.10%	0.13%	0.06%	0.13%	0.13%	0.13%	0.13%	0.13%	0.00%	0.08%	0.08%	
16	1	0.07%	0.00%	0.09%	0.08%	0.08%	0.08%	0.08%	0.08%	0.00%	0.08%	0.08%	
17	3	0.16%	0.10%	0.16%	0.18%	0.15%	0.18%	0.17%	0.17%	0.12%	0.09%	0.24%	
18	1	0.08%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.00%	0.09%	0.09%	
20	6	0.90%	0.97%	0.92%	0.89%	0.95%	0.90%	0.89%	0.89%	0.83%	0.87%	0.88%	
23	1	0.07%	0.10%	0.06%	0.06%	0.08%	0.06%	0.06%	0.06%	0.12%	0.06%	0.06%	
24	1	0.10%	0.00%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.00%	0.12%	0.12%	
25	2	0.30%	0.21%	0.33%	0.32%	0.31%	0.32%	0.34%	0.34%	0.21%	0.33%	0.26%	
28	1	0.13%	0.09%	0.14%	0.14%	0.14%	0.14%	0.14%	0.14%	0.10%	0.14%	0.14%	
67	1	0.17%	0.16%	0.21%	0.20%	0.16%	0.18%	0.15%	0.13%	0.21%	0.13%	0.21%	
68	1	0.79%	0.83%	0.83%	0.81%	0.71%	0.81%	0.80%	0.80%	0.83%	0.69%	0.83%	
206	1	0.49%	0.38%	0.43%	0.50%	0.50%	0.48%	0.48%	0.48%	0.72%	0.48%	0.48%	
439	1	1.83%	1.22%	1.65%	1.47%	1.34%	1.52%	2.92%	2.92%	1.94%	1.85%	1.43%	
All	257	99.12%	99.15%	99.43%	99.49%	98.19%	99.53%	99.45%	99.50%	98.52%	98.96%	98.99%	
--------------------------------------------------------------------------------
