Seq_id	Size	Description
1	4530125	NZ_CP006758.1
2	4502257	NZ_CP006794.1
3	4639390	CP045640.1
4	4553586	NC_014029.1
5	4636496	NZ_CP033690.1
6	4708493	NZ_CP033699.1
7	4708024	NZ_CP009906.1
8	4501786	NZ_CP009935.1
9	4653728	NC_003143.1
10	4546217	NZ_CP045149.1
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10
2	1	0.03%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	
4	3	0.03%	0.02%	0.02%	0.02%	0.04%	0.02%	0.00%	0.00%	0.02%	0.04%	0.07%	
5	1	0.01%	0.03%	0.00%	0.00%	0.00%	0.02%	0.03%	0.03%	0.00%	0.03%	0.00%	
6	6	0.31%	0.08%	0.05%	0.51%	0.44%	0.48%	0.50%	0.50%	0.03%	0.08%	0.39%	
7	12	1.73%	2.47%	0.16%	2.18%	0.38%	2.18%	2.24%	2.24%	2.39%	2.58%	0.43%	
8	14	1.88%	0.68%	2.16%	2.33%	2.30%	2.33%	1.96%	1.96%	0.40%	2.28%	2.38%	
9	17	2.46%	2.77%	2.71%	2.71%	1.82%	2.69%	2.67%	2.67%	1.05%	2.69%	2.76%	
10	239	88.47%	89.54%	90.11%	87.60%	90.50%	87.68%	86.34%	86.34%	90.25%	87.26%	89.29%	
11	1	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.05%	0.03%	0.03%	
12	1	0.03%	0.00%	0.00%	0.05%	0.05%	0.05%	0.04%	0.04%	0.00%	0.00%	0.05%	
16	3	0.16%	0.16%	0.11%	0.11%	0.20%	0.11%	0.20%	0.20%	0.14%	0.20%	0.20%	
18	2	0.15%	0.13%	0.17%	0.16%	0.16%	0.16%	0.16%	0.16%	0.04%	0.16%	0.16%	
19	2	0.18%	0.19%	0.19%	0.19%	0.19%	0.19%	0.19%	0.19%	0.09%	0.19%	0.19%	
20	4	0.55%	0.55%	0.56%	0.54%	0.55%	0.54%	0.53%	0.53%	0.56%	0.54%	0.55%	
24	1	0.10%	0.00%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.00%	0.12%	0.12%	
34	1	0.15%	0.09%	0.18%	0.18%	0.18%	0.18%	0.18%	0.18%	0.09%	0.13%	0.14%	
68	1	0.79%	0.83%	0.83%	0.81%	0.71%	0.81%	0.80%	0.80%	0.84%	0.69%	0.83%	
215	1	0.62%	0.55%	0.53%	0.60%	0.58%	0.54%	0.56%	0.56%	1.05%	0.58%	0.63%	
402	1	1.67%	1.10%	1.44%	1.20%	1.23%	1.28%	2.83%	2.83%	1.77%	1.81%	1.13%	
All	311	99.34%	99.37%	99.36%	99.31%	99.49%	99.40%	99.37%	99.37%	98.92%	99.40%	99.36%	
--------------------------------------------------------------------------------
